pH,K,N,P
5.321043498,7.01313911,9.42267357,10.14876929
5.634769914,8.095141414,10.44508265,8.526272784
4.867319172,8.112990371,6.911092814,9.397848434
5.658440793,6.554882323,10.43435308,5.46165677
4.210704704,7.655432314,9.256289386,9.522574952
4.814475958,10.77127534,9.182019722,6.435561105
5.857359409,7.940680438,7.942860664,6.221085573
5.895549802,10.65372356,6.655919947,9.320316438
4.819780893,5.630890115,6.984177508,9.078714223
5.397176746,5.977650622,8.287926192,8.751840213
4.037995967,8.415062869,5.660092614,9.798369853
5.682235832,5.244555349,6.465181647,10.94010876
4.566286558,6.070089032,5.762629856,8.600339974
4.119807656,6.690699326,10.67768021,10.11213667
4.356214119,6.814424736,8.469036122,9.90341309
5.035684198,5.381944704,10.65169913,7.223130314
5.005635781,9.860947931,7.029419486,8.788396703
5.089234407,10.74483304,10.88467366,7.362156924
4.828591986,10.61546102,7.106246227,8.345534715
